CustomerID,Lookalikes
C0001,"[('C0146', 0.9849080916098838), ('C0035', 0.9849075747741238), ('C0045', 0.9684797560505843)]"
C0002,"[('C0133', 0.9997126131213345), ('C0144', 0.9995677433764519), ('C0134', 0.9807094505902816)]"
C0003,"[('C0166', 0.9999625836202699), ('C0031', 0.9998103641566096), ('C0158', 0.9996431089571279)]"
C0004,"[('C0085', 0.9844615400906513), ('C0047', 0.9779878599234267), ('C0172', 0.9683451236056195)]"
C0005,"[('C0197', 0.9999950820041779), ('C0007', 0.9998690212589688), ('C0069', 0.9762563120839091)]"
C0006,"[('C0135', 0.9995687626107228), ('C0147', 0.9770535256016367), ('C0139', 0.9670982900006554)]"
C0007,"[('C0005', 0.9998690212589688), ('C0197', 0.9998133452969115), ('C0069', 0.9759410727436224)]"
C0008,"[('C0181', 0.9816326409445046), ('C0154', 0.981483119304371), ('C0039', 0.9811563557865893)]"
C0009,"[('C0040', 0.9958573802803893), ('C0092', 0.9893051209834718), ('C0049', 0.9644477131927389)]"
C0010,"[('C0077', 0.9899219209517904), ('C0083', 0.9898348368242506), ('C0061', 0.9896515639435373)]"
C0011,"[('C0126', 0.9949922668319103), ('C0027', 0.9849009220356306), ('C0094', 0.9839402264597422)]"
C0012,"[('C0065', 0.9974443098740275), ('C0172', 0.9908802740515439), ('C0152', 0.9870332710355929)]"
C0013,"[('C0016', 0.9942085517010104), ('C0183', 0.994204875135586), ('C0107', 0.9941568269029992)]"
C0014,"[('C0151', 0.99998002063587), ('C0097', 0.9999269098299033), ('C0060', 0.9998755856038192)]"
C0015,"[('C0123', 0.9999350100248993), ('C0160', 0.9803138857675778), ('C0038', 0.9803083963302712)]"
C0016,"[('C0183', 0.9999998582580499), ('C0107', 0.9999848002398979), ('C0088', 0.9992641911776029)]"
C0017,"[('C0075', 0.9832525631246458), ('C0090', 0.9809457380949701), ('C0194', 0.9809345507295939)]"
C0018,"[('C0075', 0.9730335081269572), ('C0021', 0.9691119236975606), ('C0085', 0.9628109288881368)]"
C0019,"[('C0191', 0.9920875604029938), ('C0070', 0.9894225329777475), ('C0125', 0.9484487167766861)]"
C0020,"[('C0130', 0.999771264102315), ('C0120', 0.9988895391149456), ('C0069', 0.9678917148371083)]"
